"","Score (t1)","OrthoScore (to1)"
"9412",-2.7239,0.92988
"4442",-2.8509,-0.17447
"9905",-2.5752,-1.9767
"1562",-1.0595,0.13752
"4647",-0.54788,-0.6088
"8141",-0.63168,0.85629
"6540",-1.88,2.1915
"516",-2.0415,-0.6852
"5860",-1.128,0.83062
"8783",-0.30579,-0.69417
"4516",-1.8107,-0.17609
"6353",-1.7695,-0.63045
"8593",2.2607,0.038214
"9041",2.7694,-3.8721
"5852",2.5919,0.84235
"1604",2.2719,4.4361
"499",4.0994,-0.30842
"420",1.6346,-1.0698
"9091",2.9022,0.35617
"9487",0.79449,-0.4225
